longitude_e,latitude_n,raw_elevation_m,reference_plane_m,corrected_residual_m
76.1757812,18.9492188,-1000.000,-897.502,-102.498
76.1835938,18.9492188,-1012.000,-901.975,-110.025
76.1914062,18.9492188,-1005.000,-906.449,-98.551
76.1992188,18.9492188,-1000.000,-910.923,-89.077
76.2070312,18.9492188,-1001.000,-915.397,-85.603
76.2148438,18.9492188,-998.000,-919.870,-78.130
76.2226562,18.9492188,-1003.000,-924.344,-78.656
76.2304688,18.9492188,-1005.000,-928.818,-76.182
76.2382812,18.9492188,-1020.000,-933.292,-86.708
76.2460938,18.9492188,-1033.000,-937.766,-95.234
76.2539062,18.9492188,-1035.000,-942.239,-92.761
76.2617188,18.9492188,-1039.000,-946.713,-92.287
76.2695312,18.9492188,-1040.000,-951.187,-88.813
76.2773438,18.9492188,-1040.000,-955.661,-84.339
76.2851562,18.9492188,-1041.000,-960.134,-80.866
76.2929688,18.9492188,-1037.000,-964.608,-72.392
76.3007812,18.9492188,-1023.000,-969.082,-53.918
76.3085938,18.9492188,-1031.000,-973.556,-57.444
76.3164062,18.9492188,-1064.000,-978.029,-85.971
76.3242188,18.9492188,-1087.000,-982.503,-104.497
76.3320312,18.9492188,-1089.000,-986.977,-102.023
76.3398438,18.9492188,-1025.000,-991.451,-33.549
76.3476562,18.9492188,-1020.000,-995.924,-24.076
76.3554688,18.9492188,-1021.000,-1000.398,-20.602
76.3632812,18.9492188,-1025.000,-1004.872,-20.128
76.3710938,18.9492188,-1030.000,-1009.346,-20.654
76.3789062,18.9492188,-1026.000,-1013.819,-12.181
76.3867188,18.9492188,-1029.000,-1018.293,-10.707
76.3945312,18.9492188,-1039.000,-1022.767,-16.233
76.4023438,18.9492188,-1054.000,-1027.241,-26.759
76.4101562,18.9492188,-1072.000,-1031.714,-40.286
76.4179688,18.9492188,-1086.000,-1036.188,-49.812
76.4257812,18.9492188,-1086.000,-1040.662,-45.338
76.4335938,18.9492188,-1050.000,-1045.136,-4.864
76.4414062,18.9492188,-1066.000,-1049.610,-16.390
76.4492188,18.9492188,-1088.000,-1054.083,-33.917
75.3554688,18.9414062,-93.000,-429.778,336.778
75.3632812,18.9414062,-106.000,-434.251,328.251
75.3710938,18.9414062,-115.000,-438.725,323.725
75.3789062,18.9414062,-122.000,-443.199,321.199
75.3867188,18.9414062,-128.000,-447.673,319.673
75.3945312,18.9414062,-132.000,-452.146,320.146
75.4023438,18.9414062,-129.000,-456.620,327.620
75.4101562,18.9414062,-118.000,-461.094,343.094
75.4179688,18.9414062,-133.000,-465.568,332.568
75.4257812,18.9414062,-142.000,-470.041,328.041
75.4335938,18.9414062,-145.000,-474.515,329.515
75.4414062,18.9414062,-142.000,-478.989,336.989
75.4492188,18.9414062,-148.000,-483.463,335.463
75.4570312,18.9414062,-150.000,-487.937,337.937
75.4648438,18.9414062,-149.000,-492.410,343.410
75.4726562,18.9414062,-147.000,-496.884,349.884
75.4804688,18.9414062,-142.000,-501.358,359.358
75.4882812,18.9414062,-138.000,-505.832,367.832
75.4960938,18.9414062,-135.000,-510.305,375.305
75.5039062,18.9414062,-141.000,-514.779,373.779
75.5117188,18.9414062,-148.000,-519.253,371.253
75.5195312,18.9414062,-156.000,-523.727,367.727
75.5273438,18.9414062,-164.000,-528.200,364.200
75.5351562,18.9414062,-174.000,-532.674,358.674
75.5429688,18.9414062,-185.000,-537.148,352.148
75.5507812,18.9414062,-198.000,-541.622,343.622
75.5585938,18.9414062,-214.000,-546.095,332.095
75.5664062,18.9414062,-232.000,-550.569,318.569
75.5742188,18.9414062,-244.000,-555.043,311.043
75.5820312,18.9414062,-247.000,-559.517,312.517
75.5898438,18.9414062,-244.000,-563.990,319.990
75.5976562,18.9414062,-242.000,-568.464,326.464
75.6054688,18.9414062,-240.000,-572.938,332.938
75.6132812,18.9414062,-238.000,-577.412,339.412
75.6210938,18.9414062,-235.000,-581.885,346.885
75.6289062,18.9414062,-230.000,-586.359,356.359
75.6367188,18.9414062,-224.000,-590.833,366.833
75.6445312,18.9414062,-223.000,-595.307,372.307
75.6523438,18.9414062,-221.000,-599.781,378.781
75.6601562,18.9414062,-217.000,-604.254,387.254
75.6679688,18.9414062,-210.000,-608.728,398.728
75.6757812,18.9414062,-197.000,-613.202,416.202
75.6835938,18.9414062,-200.000,-617.676,417.676
75.6914062,18.9414062,-211.000,-622.149,411.149
75.6992188,18.9414062,-222.000,-626.623,404.623
75.7070312,18.9414062,-229.000,-631.097,402.097
75.7148438,18.9414062,-239.000,-635.571,396.571
75.7226562,18.9414062,-252.000,-640.044,388.044
75.7304688,18.9414062,-274.000,-644.518,370.518
75.7382812,18.9414062,-299.000,-648.992,349.992
75.7460938,18.9414062,-324.000,-653.466,329.466
75.7539062,18.9414062,-349.000,-657.939,308.939
75.7617188,18.9414062,-374.000,-662.413,288.413
75.7695312,18.9414062,-398.000,-666.887,268.887
75.7773438,18.9414062,-422.000,-671.361,249.361
75.7851562,18.9414062,-445.000,-675.834,230.834
75.7929688,18.9414062,-464.000,-680.308,216.308
75.8007812,18.9414062,-472.000,-684.782,212.782
75.8085938,18.9414062,-477.000,-689.256,212.256
75.8164062,18.9414062,-484.000,-693.729,209.729
75.8242188,18.9414062,-493.000,-698.203,205.203
75.8320312,18.9414062,-504.000,-702.677,198.677
75.8398438,18.9414062,-514.000,-707.151,193.151
75.8476562,18.9414062,-527.000,-711.625,184.625
75.8554688,18.9414062,-539.000,-716.098,177.098
75.8632812,18.9414062,-547.000,-720.572,173.572
75.8710938,18.9414062,-554.000,-725.046,171.046
75.8789062,18.9414062,-561.000,-729.520,168.520
75.8867188,18.9414062,-562.000,-733.993,171.993
75.8945312,18.9414062,-561.000,-738.467,177.467
75.9023438,18.9414062,-564.000,-742.941,178.941
75.9101562,18.9414062,-585.000,-747.415,162.415
75.9179688,18.9414062,-606.000,-751.888,145.888
75.9257812,18.9414062,-626.000,-756.362,130.362
75.9335938,18.9414062,-644.000,-760.836,116.836
75.9414062,18.9414062,-662.000,-765.310,103.310
75.9492188,18.9414062,-679.000,-769.783,90.783
75.9570312,18.9414062,-695.000,-774.257,79.257
75.9648438,18.9414062,-712.000,-778.731,66.731
75.9726562,18.9414062,-720.000,-783.205,63.205
75.9804688,18.9414062,-731.000,-787.678,56.678
75.9882812,18.9414062,-745.000,-792.152,47.152
75.9960938,18.9414062,-759.000,-796.626,37.626
76.0039062,18.9414062,-771.000,-801.100,30.100
76.0117188,18.9414062,-772.000,-805.573,33.573
76.0195312,18.9414062,-785.000,-810.047,25.047
76.0273438,18.9414062,-795.000,-814.521,19.521
76.0351562,18.9414062,-803.000,-818.995,15.995
76.0429688,18.9414062,-810.000,-823.469,13.469
76.0507812,18.9414062,-818.000,-827.942,9.942
76.0585938,18.9414062,-827.000,-832.416,5.416
76.0664062,18.9414062,-838.000,-836.890,-1.110
76.0742188,18.9414062,-851.000,-841.364,-9.636
76.0820312,18.9414062,-864.000,-845.837,-18.163
76.0898438,18.9414062,-880.000,-850.311,-29.689
76.0976562,18.9414062,-896.000,-854.785,-41.215
76.1054688,18.9414062,-915.000,-859.259,-55.741
76.1132812,18.9414062,-934.000,-863.732,-70.268
76.1210938,18.9414062,-948.000,-868.206,-79.794
76.1289062,18.9414062,-949.000,-872.680,-76.320
76.1367188,18.9414062,-954.000,-877.154,-76.846
76.1445312,18.9414062,-963.000,-881.627,-81.373
76.1523438,18.9414062,-966.000,-886.101,-79.899
76.1601562,18.9414062,-973.000,-890.575,-82.425
76.1679688,18.9414062,-983.000,-895.049,-87.951
76.1757812,18.9414062,-989.000,-899.522,-89.478
76.1835938,18.9414062,-995.000,-903.996,-91.004
76.1914062,18.9414062,-991.000,-908.470,-82.530
76.1992188,18.9414062,-986.000,-912.944,-73.056
76.2070312,18.9414062,-986.000,-917.417,-68.583
76.2148438,18.9414062,-998.000,-921.891,-76.109
76.2226562,18.9414062,-1006.000,-926.365,-79.635
76.2304688,18.9414062,-1010.000,-930.839,-79.161
76.2382812,18.9414062,-1021.000,-935.312,-85.688
76.2460938,18.9414062,-1032.000,-939.786,-92.214
76.2539062,18.9414062,-1033.000,-944.260,-88.740
76.2617188,18.9414062,-1028.000,-948.734,-79.266
76.2695312,18.9414062,-1022.000,-953.208,-68.792
76.2773438,18.9414062,-1017.000,-957.681,-59.319
76.2851562,18.9414062,-1011.000,-962.155,-48.845
76.2929688,18.9414062,-1006.000,-966.629,-39.371
76.3007812,18.9414062,-1004.000,-971.103,-32.897
76.3085938,18.9414062,-1024.000,-975.576,-48.424
76.3164062,18.9414062,-1041.000,-980.050,-60.950
76.3242188,18.9414062,-1056.000,-984.524,-71.476
76.3320312,18.9414062,-1065.000,-988.998,-76.002
76.3398438,18.9414062,-1006.000,-993.471,-12.529
76.3476562,18.9414062,-974.000,-997.945,23.945
76.3554688,18.9414062,-972.000,-1002.419,30.419
76.3632812,18.9414062,-989.000,-1006.893,17.893
76.3710938,18.9414062,-1011.000,-1011.366,0.366
76.3789062,18.9414062,-1015.000,-1015.840,0.840
76.3867188,18.9414062,-1013.000,-1020.314,7.314
76.3945312,18.9414062,-1020.000,-1024.788,4.788
76.4023438,18.9414062,-1034.000,-1029.261,-4.739
76.4101562,18.9414062,-1053.000,-1033.735,-19.265
76.4179688,18.9414062,-1069.000,-1038.209,-30.791
76.4257812,18.9414062,-1080.000,-1042.683,-37.317
76.4335938,18.9414062,-1082.000,-1047.156,-34.844
76.4414062,18.9414062,-1095.000,-1051.630,-43.370
76.4492188,18.9414062,-1110.000,-1056.104,-53.896
75.3554688,18.9335938,-156.000,-431.798,275.798
75.3632812,18.9335938,-157.000,-436.272,279.272
75.3710938,18.9335938,-160.000,-440.746,280.746
75.3789062,18.9335938,-165.000,-445.220,280.220
75.3867188,18.9335938,-167.000,-449.693,282.693
75.3945312,18.9335938,-169.000,-454.167,285.167
75.4023438,18.9335938,-172.000,-458.641,286.641
75.4101562,18.9335938,-176.000,-463.115,287.115
75.4179688,18.9335938,-172.000,-467.588,295.588
75.4257812,18.9335938,-170.000,-472.062,302.062
75.4335938,18.9335938,-171.000,-476.536,305.536
75.4414062,18.9335938,-172.000,-481.010,309.010
75.4492188,18.9335938,-169.000,-485.484,316.484
75.4570312,18.9335938,-165.000,-489.957,324.957
75.4648438,18.9335938,-159.000,-494.431,335.431
75.4726562,18.9335938,-154.000,-498.905,344.905
75.4804688,18.9335938,-151.000,-503.379,352.379
75.4882812,18.9335938,-149.000,-507.852,358.852
75.4960938,18.9335938,-151.000,-512.326,361.326
75.5039062,18.9335938,-155.000,-516.800,361.800
75.5117188,18.9335938,-161.000,-521.274,360.274
75.5195312,18.9335938,-169.000,-525.747,356.747
75.5273438,18.9335938,-178.000,-530.221,352.221
75.5351562,18.9335938,-188.000,-534.695,346.695
75.5429688,18.9335938,-198.000,-539.169,341.169
75.5507812,18.9335938,-208.000,-543.642,335.642
75.5585938,18.9335938,-220.000,-548.116,328.116
75.5664062,18.9335938,-233.000,-552.590,319.590
75.5742188,18.9335938,-253.000,-557.064,304.064
75.5820312,18.9335938,-248.000,-561.537,313.537
75.5898438,18.9335938,-251.000,-566.011,315.011
75.5976562,18.9335938,-253.000,-570.485,317.485
75.6054688,18.9335938,-255.000,-574.959,319.959
75.6132812,18.9335938,-255.000,-579.432,324.432
75.6210938,18.9335938,-253.000,-583.906,330.906
75.6289062,18.9335938,-248.000,-588.380,340.380
75.6367188,18.9335938,-240.000,-592.854,352.854
75.6445312,18.9335938,-238.000,-597.327,359.327
75.6523438,18.9335938,-242.000,-601.801,359.801
75.6601562,18.9335938,-240.000,-606.275,366.275
75.6679688,18.9335938,-236.000,-610.749,374.749
75.6757812,18.9335938,-211.000,-615.223,404.223
75.6835938,18.9335938,-225.000,-619.696,394.696
75.6914062,18.9335938,-246.000,-624.170,378.170
75.6992188,18.9335938,-264.000,-628.644,364.644
75.7070312,18.9335938,-276.000,-633.118,357.118
75.7148438,18.9335938,-275.000,-637.591,362.591
75.7226562,18.9335938,-292.000,-642.065,350.065
75.7304688,18.9335938,-310.000,-646.539,336.539
75.7382812,18.9335938,-328.000,-651.013,323.013
75.7460938,18.9335938,-348.000,-655.486,307.486
75.7539062,18.9335938,-369.000,-659.960,290.960
75.7617188,18.9335938,-391.000,-664.434,273.434
75.7695312,18.9335938,-413.000,-668.908,255.908
75.7773438,18.9335938,-437.000,-673.381,236.381
75.7851562,18.9335938,-463.000,-677.855,214.855
75.7929688,18.9335938,-488.000,-682.329,194.329
75.8007812,18.9335938,-487.000,-686.803,199.803
75.8085938,18.9335938,-487.000,-691.276,204.276
75.8164062,18.9335938,-491.000,-695.750,204.750
75.8242188,18.9335938,-496.000,-700.224,204.224
75.8320312,18.9335938,-501.000,-704.698,203.698
75.8398438,18.9335938,-515.000,-709.171,194.171
75.8476562,18.9335938,-530.000,-713.645,183.645
75.8554688,18.9335938,-543.000,-718.119,175.119
75.8632812,18.9335938,-547.000,-722.593,175.593
75.8710938,18.9335938,-550.000,-727.067,177.067
75.8789062,18.9335938,-557.000,-731.540,174.540
75.8867188,18.9335938,-559.000,-736.014,177.014
75.8945312,18.9335938,-562.000,-740.488,178.488
75.9023438,18.9335938,-569.000,-744.962,175.962
75.9101562,18.9335938,-587.000,-749.435,162.435
75.9179688,18.9335938,-608.000,-753.909,145.909
75.9257812,18.9335938,-628.000,-758.383,130.383
75.9335938,18.9335938,-647.000,-762.857,115.857
75.9414062,18.9335938,-665.000,-767.330,102.330
75.9492188,18.9335938,-680.000,-771.804,91.804
75.9570312,18.9335938,-690.000,-776.278,86.278
75.9648438,18.9335938,-697.000,-780.752,83.752
75.9726562,18.9335938,-711.000,-785.225,74.225
75.9804688,18.9335938,-728.000,-789.699,61.699
75.9882812,18.9335938,-746.000,-794.173,48.173
75.9960938,18.9335938,-763.000,-798.647,35.647
76.0039062,18.9335938,-777.000,-803.120,26.120
76.0117188,18.9335938,-782.000,-807.594,25.594
76.0195312,18.9335938,-790.000,-812.068,22.068
76.0273438,18.9335938,-793.000,-816.542,23.542
76.0351562,18.9335938,-801.000,-821.015,20.015
76.0429688,18.9335938,-807.000,-825.489,18.489
76.0507812,18.9335938,-815.000,-829.963,14.963
76.0585938,18.9335938,-826.000,-834.437,8.437
76.0664062,18.9335938,-838.000,-838.911,0.911
76.0742188,18.9335938,-851.000,-843.384,-7.616
76.0820312,18.9335938,-866.000,-847.858,-18.142
76.0898438,18.9335938,-882.000,-852.332,-29.668
76.0976562,18.9335938,-901.000,-856.806,-44.194
76.1054688,18.9335938,-923.000,-861.279,-61.721
