distance_from_start_km,distance_from_user_rim_km,longitude_e_deg,latitude_n_deg,mola_raw_m,mola_corrected_residual_m,ctx_raw_m,ctx_tilt_corrected_m
17.200000,13.054698,76.190872,18.202410,-1492.834286,-393.525157,-1474.505013,-1232.626101
17.300000,13.154698,76.192628,18.202661,-1502.988755,-402.738977,-1479.673112,-1236.853522
17.400000,13.254698,76.194384,18.202912,-1511.844813,-410.654354,-1486.940668,-1243.180410
17.500000,13.354698,76.196140,18.203163,-1520.354484,-418.223345,-1486.620396,-1241.919489
17.600000,13.454698,76.197896,18.203414,-1528.517770,-425.445949,-1491.831477,-1246.189912
17.700000,13.554698,76.199652,18.203665,-1535.968725,-431.956248,-1509.877607,-1263.295377
17.800000,13.654698,76.201408,18.203915,-1542.072497,-437.119450,-1521.104568,-1273.581657
17.900000,13.754698,76.203164,18.204166,-1548.017504,-442.123902,-1532.900225,-1284.436619
18.000000,13.854698,76.204920,18.204417,-1553.803747,-446.969604,-1538.122321,-1288.718040
18.100000,13.954698,76.206675,18.204668,-1559.431225,-451.656556,-1542.755423,-1292.410478
18.200000,14.054698,76.208431,18.204919,-1559.314809,-450.599518,-1549.856664,-1298.571044
18.300000,14.154698,76.209942,18.204293,-1559.361619,-449.619198,-1556.201179,-1303.888458
18.400000,14.254698,76.211336,18.203248,-1560.305589,-449.494619,-1557.156415,-1303.775129
18.500000,14.354698,76.212730,18.202203,-1561.392775,-449.513256,-1560.366895,-1305.917117
18.600000,14.454698,76.214124,18.201157,-1562.623177,-449.675108,-1558.589594,-1303.071256
18.700000,14.554698,76.215517,18.200112,-1563.834225,-449.817597,-1558.380565,-1301.793664
18.800000,14.654698,76.216911,18.199067,-1564.621975,-449.536783,-1563.283322,-1305.627928
18.900000,14.754698,76.218305,18.198021,-1563.680143,-447.526451,-1564.008000,-1305.284055
19.000000,14.854698,76.219698,18.196976,-1563.311173,-446.089029,-1562.872609,-1303.080109
19.100000,14.954698,76.221092,18.195931,-1563.515064,-445.224516,-1564.210019,-1303.348962
19.200000,15.054698,76.222486,18.194886,-1564.291818,-444.932912,-1563.681698,-1301.752111
19.300000,15.154698,76.223880,18.193840,-1565.934161,-445.506905,-1563.193904,-1300.195763
19.400000,15.254698,76.225273,18.192795,-1567.921157,-446.425503,-1562.189498,-1298.122864
19.500000,15.354698,76.226667,18.191750,-1570.194577,-447.630477,-1562.625129,-1297.489934
19.600000,15.454698,76.228061,18.190704,-1572.160037,-448.527411,-1562.485370,-1296.281644
19.700000,15.554698,76.229455,18.189659,-1574.200860,-449.499685,-1562.576867,-1295.304609
19.800000,15.654698,76.230848,18.188614,-1576.637455,-450.867725,-1560.985573,-1292.644748
19.900000,15.754698,76.232242,18.187568,-1579.432272,-452.593972,-1555.575055,-1286.165661
20.000000,15.854698,76.233717,18.186642,-1582.506603,-454.583975,-1556.957069,-1286.463437
20.100000,15.954698,76.235288,18.185856,-1585.827293,-456.801550,-1561.023868,-1289.427144
20.200000,16.054698,76.236859,18.185070,-1589.390710,-459.261853,-1560.534682,-1287.834869
20.300000,16.154698,76.238431,18.184285,-1592.980605,-461.748653,-1559.788827,-1285.985894
20.400000,16.254698,76.240002,18.183499,-1594.328380,-461.993550,-1561.263467,-1286.357502
20.500000,16.354698,76.241573,18.182713,-1593.982996,-460.545336,-1559.911732,-1283.902628
20.600000,16.454698,76.243145,18.181928,-1593.961231,-459.420702,-1566.513221,-1289.401055
20.700000,16.554698,76.244716,18.181142,-1594.263086,-458.619646,-1567.413207,-1289.197911
20.800000,16.654698,76.246287,18.180356,-1595.002238,-458.255830,-1570.713122,-1291.394783
20.900000,16.754698,76.247859,18.179571,-1596.850961,-459.001444,-1573.224364,-1292.802911
21.000000,16.854698,76.249430,18.178785,-1598.982858,-460.030232,-1574.218405,-1292.693878
21.100000,16.954698,76.251001,18.177999,-1601.397930,-461.342194,-1575.799952,-1293.172322
21.200000,17.054698,76.252573,18.177214,-1604.096176,-462.937331,-1577.269523,-1293.538835
21.300000,17.154698,76.254144,18.176428,-1607.316177,-465.054226,-1583.769911,-1298.936125
21.400000,17.254698,76.255715,18.175642,-1611.952541,-468.587507,-1591.903204,-1305.966344
21.500000,17.354698,76.257287,18.174857,-1615.572824,-471.104746,-1597.367430,-1310.327445
21.600000,17.454698,76.258858,18.174071,-1619.193107,-473.622024,-1602.236162,-1314.093127
21.700000,17.554698,76.260429,18.173285,-1622.813389,-476.139343,-1608.213653,-1318.967485
21.800000,17.654698,76.262001,18.172500,-1626.861059,-479.084092,-1611.975426,-1321.626210
21.900000,17.754698,76.263622,18.172166,-1633.564630,-484.772816,-1618.747400,-1327.383201
22.000000,17.854698,76.265332,18.172622,-1641.401347,-491.748516,-1629.266650,-1337.041359
22.100000,17.954698,76.267042,18.173078,-1649.186987,-498.673163,-1627.222324,-1334.135911
