model,reference_points,robust_fit_rmse_m,intercept_m,east_gradient_m_per_km,north_gradient_m_per_km,outlet_residual_m,rim_median_residual_m,rim_min_residual_m,rim_max_residual_m,outlet_low_tail_percentile
A: 3–15 km annulus,8111,313.0877729609357,-808.1402844110821,-15.473945617068111,5.605156210746124,-95.52329213156918,232.59376192970893,-158.32344580831182,964.4203737389923,6.550218340611353
B: 3–20 km; 5 km corridor excluded,10254,301.1701134394031,-843.0240326813009,-16.894378070792115,6.485112379450319,-29.678728694297888,259.28757791197626,-93.60099709821611,979.598146386043,8.73362445414847
C: 5–20 km; 8 km corridor excluded,8464,284.45793601503425,-868.0463465979888,-15.234201466096614,6.569730871178334,-29.84157734494852,285.4076460092534,-96.63134748915127,1031.456843975394,5.458515283842795
