distance_from_rim_km,longitude_e_deg,latitude_n_deg,mola_raw_m,corrected_min_m,corrected_median_m,corrected_max_m,ctx_raw_m
14.554698,76.215517,18.200112,-1563.834225,-336.3748093211609,-278.40506343208835,-261.4146187131039,-1558.380565
14.654698,76.216911,18.199067,-1564.621975,-335.6012461661844,-277.59056336575895,-260.475099150779,-1563.283322
14.754698,76.218305,18.198021,-1563.680143,-333.0977687672573,-275.0460918806084,-257.8056131853673,-1564.008
14.854698,76.219698,18.196976,-1563.311173,-331.16835657227784,-273.07572928013747,-255.7103245329031,-1562.872609
14.954698,76.221092,18.195931,-1563.515064,-329.8109344172899,-271.67737021379753,-254.18694597056606,-1564.210019
15.054698,76.222486,18.194886,-1564.291818,-329.02637526230114,-270.8518741474559,-253.23643040822776,-1563.681698
15.154698,76.22388,18.19384,-1565.934161,-329.1070728633863,-270.89157766231756,-253.15111944282944,-1563.193904
15.254698,76.225273,18.192795,-1567.921157,-329.5336266683946,-271.27718106183465,-253.41179679035213,-1562.189498
15.354698,76.226667,18.19175,-1570.194577,-330.2457335134054,-271.948350995493,-253.95794722801384,-1562.625129
15.454698,76.228061,18.190704,-1572.160037,-330.64954811449115,-272.3111715103546,-254.19575326261543,-1562.48537
15.554698,76.229455,18.189659,-1574.20086,-331.129057959502,-272.749744444013,-254.50930670027697,-1562.576867
15.654698,76.230848,18.188614,-1576.637455,-332.0052107645238,-273.5849468435438,-255.21958304781447,-1560.985573
15.754698,76.232242,18.187568,-1579.432272,-333.23838236559527,-274.7771243583916,-256.2867460824011,-1555.575055
15.854698,76.233717,18.186642,-1582.506603,-334.72038947941996,-276.2260913957605,-257.6025277870401,-1556.957069
15.954698,76.235288,18.185856,-1585.827293,-336.41165758478564,-277.8936193439406,-259.12719757527225,-1561.023868
16.054698,76.236859,18.18507,-1589.39071,-338.3456526901498,-279.8038742921192,-260.89459436350285,-1560.534682
16.154698,76.238431,18.184285,-1592.980605,-340.3055870794442,-281.74013919323806,-262.68790264493487,-1559.788827
16.254698,76.240002,18.183499,-1594.32838,-340.0239401848098,-281.43475214141836,-262.23965743316717,-1561.263467
16.354698,76.241573,18.182713,-1593.982996,-338.04913429017415,-279.4362060895969,-260.0982532213982,-1559.911732
16.454698,76.243145,18.181928,-1593.961231,-336.39740867948103,-277.76081099072803,-258.2799015028436,-1566.513221
16.554698,76.244716,18.181142,-1594.263086,-335.0698417848464,-276.4095039389081,-256.7857362910754,-1567.413207
16.654698,76.246287,18.180356,-1595.002238,-334.17957189021104,-275.4954938870869,-255.72886807930672,-1570.713122
16.754698,76.247859,18.179571,-1596.850961,-334.39833427950543,-275.6905867882058,-255.7810043607385,-1573.224364
16.854698,76.24943,18.178785,-1598.982858,-334.90080938487085,-276.1693217363859,-256.11688114897083,-1574.218405
16.954698,76.251001,18.177999,-1601.39793,-335.68645949023517,-276.93123168456486,-256.7359329372018,-1575.799952
17.054698,76.252573,18.177214,-1604.096176,-336.75474487954193,-277.97584758569565,-257.6375922186471,-1577.269523
17.154698,76.254144,18.176428,-1607.316177,-338.3453239849075,-279.54268653387567,-259.06157300687914,-1583.769911
17.254698,76.255715,18.175642,-1611.952541,-341.352266090272,-282.5258884820548,-261.9019167951103,-1591.903204
17.354698,76.257287,18.174857,-1615.572824,-343.3425884795663,-284.4925413831734,-263.72561307654223,-1597.36743
17.454698,76.258858,18.174071,-1619.193107,-345.33344958493194,-286.4596623313537,-265.5498758647743,-1602.236162
17.554698,76.260429,18.173285,-1622.813389,-347.3243096902961,-288.4267822795323,-267.37413765300494,-1608.213653
17.654698,76.262001,18.1725,-1626.861059,-349.7420190796031,-290.8208221806635,-269.6252209344507,-1611.975426
17.754698,76.263622,18.172166,-1633.56463,-354.92279444542237,-296.0043751380215,-274.6589764192847,-1618.7474
17.854698,76.265332,18.172622,-1641.401347,-361.4216730830981,-302.5524004938402,-281.0449253553029,-1629.26665
17.954698,76.267042,18.173078,-1649.186987,-367.8694747207737,-309.0493488496586,-287.3797972913212,-1627.222324
18.054698,76.268751,18.173534,-1656.921548,-374.26706831845854,-315.49607567134785,-293.66454113721375,-1626.273628
18.154698,76.270461,18.17399,-1662.664112,-378.6717939561345,-319.94994802716633,-297.9563370732319,-1627.143165
18.254698,76.27217,18.174445,-1666.667759,-381.33814130986775,-322.6653714300328,-300.50978251603556,-1627.144931
18.354698,76.27388,18.174901,-1670.543714,-383.8762579475433,-325.25263478585134,-302.9349694520538,-1624.653012
18.454698,76.275589,18.175357,-1674.291977,-386.2875535452297,-327.71306360754215,-305.2334152979479,-1628.036313
18.554698,76.277299,18.175813,-1677.842687,-388.50042518290525,-329.9750819633605,-307.3333572339661,-1635.628879
18.654698,76.279009,18.176269,-1677.919991,-387.23989082058097,-328.7636943191792,-305.95989316998407,-1639.781872
18.754698,76.280718,18.176725,-1678.055992,-386.0389244182661,-327.6118611408683,-304.6460770158769,-1643.070682
18.854698,76.282428,18.177181,-1678.319686,-384.9647800559419,-326.5868634966871,-303.45900295189494,-1646.612592
18.954698,76.284137,18.177637,-1678.711072,-384.01919865361447,-325.6904153183639,-302.4005717977741,-1646.937477
19.054698,76.285847,18.178093,-1679.495371,-383.4656592912902,-325.1860226741826,-301.73410273379227,-1648.3926
19.154698,76.287556,18.178548,-1680.798577,-383.431565645036,-325.20100507706115,-301.5871071766096,-1651.054056
19.254698,76.289266,18.179004,-1682.229471,-383.5246212827119,-325.3432074328798,-301.56723311262795,-1653.060643
19.354698,76.290976,18.17946,-1683.788055,-383.74536692038737,-325.6130997886985,-301.67504904864586,-1656.786112
19.454698,76.292685,18.179916,-1685.474328,-384.09467251805995,-326.0115386103753,-301.911504894525,-1659.082513
19.554698,76.294395,18.180372,-1684.324576,-381.60708215574823,-323.5730949662061,-299.31098483055666,-1658.863934
19.654698,76.296104,18.180828,-1682.783393,-378.7289317534219,-320.7440777878844,-296.3199846764371,-1659.939133
19.754698,76.297814,18.181284,-1681.446517,-376.0542173910976,-318.11851014370313,-293.5323406124553,-1658.30848
19.854698,76.299524,18.18174,-1680.313949,-373.5838110287734,-315.6972504995217,-290.94900454847357,-1659.245696
19.954698,76.301233,18.182195,-1679.459967,-371.3925293825191,-313.55504490240037,-288.64482099129077,-1664.393281
20.054698,76.302943,18.182651,-1679.081596,-369.6763200201949,-311.8879822582189,-286.815681927309,-1665.410903
20.154698,76.304652,18.183107,-1679.009679,-368.2674356178675,-310.52823107989593,-285.29394777318817,-1665.118785
20.254698,76.306362,18.183563,-1679.244216,-367.1641342555556,-309.4740764357266,-284.0777167092199,-1671.369032
20.350522,76.308,18.184,-1679.32079,-365.95926637831826,-308.3162973761059,-282.7646844969579,-1674.020814
