distance_from_outlet_along_rim_km,longitude_e_deg,latitude_n_deg,mola_raw_m,corrected_min_m,corrected_median_m,corrected_max_m
0.0,76.04045217589993,18.10637398059748,-1200.9624947354932,-94.83364930328116,-29.14209523959903,-28.980573507235704
0.25,76.04057617611406,18.110589987877724,-1216.5673439484954,-111.73124215538428,-46.28241104114454,-46.08815585506022
0.5,76.04070017632817,18.11480599515797,-1226.479823815399,-122.93646566138864,-57.730357496591296,-57.50336885678598
0.75,76.0408241765423,18.119022002438214,-1226.7271968047176,-124.47658228980845,-59.513197074453274,-59.25347498092697
1.0,76.04094817675642,18.12323800971846,-1224.0163646248006,-123.05849374899253,-58.337831483079526,-58.04537593583245
1.25,76.04302884406839,18.126521633051293,-1213.9359488097657,-112.25686388393865,-47.75201917217669,-47.24866795713751
1.5,76.04651440320157,18.12913580240118,-1204.7283850475103,-100.88205946404969,-36.57371416599881,-35.73154637231028
1.75,76.04999996233475,18.131749971751066,-1196.9704096381204,-90.9568433970262,-26.844997512686177,-25.66401314034829
2.0,76.05323118733924,18.134544941585336,-1193.5186742662943,-85.61945208517432,-21.71101083899771,-20.214069039580863
2.25,76.05489088149275,18.138457077804347,-1194.498396286313,-86.45343043387402,-22.791061215074706,-21.11940871037268
2.5,76.05655057564627,18.14236921402336,-1199.2534958904107,-91.06278636665252,-27.64648917523118,-25.80012596524375
2.75,76.05821026979979,18.146281350242372,-1208.4755416237247,-100.13908842864748,-36.96886326460367,-34.94778934933083
3.0,76.0598699639533,18.150193486461383,-1220.8919216241266,-112.40972475773037,-49.48557162106431,-47.28978700050584
3.25,76.06152965810683,18.154105622680394,-1234.0524611332098,-125.42452059549487,-62.7464394862061,-60.375944160362224
3.5,76.06318935226035,18.15801775889941,-1247.1112018516956,-138.33751764266162,-75.90550856075038,-73.3603025296211
3.75,76.06484904641387,18.16192989511842,-1258.065476684789,-149.14604880443585,-86.96011174990258,-84.24019501348766
4.0,76.06650874056739,18.16584203133743,-1265.1367982983331,-156.0716267466612,-94.13176171950522,-91.23713427780513
4.25,76.06774423860426,18.169883924591527,-1267.121792193477,-158.32344580831182,-96.63134748915127,-93.60099709821611
4.5,76.06880138663163,18.173980373197576,-1261.37121103655,-153.01315122703454,-91.56953213136012,-88.41985089472291
4.75,76.06985853465899,18.178076821803625,-1248.9889529581123,-141.07117972424658,-79.87603985205828,-76.6070277697188
5.0,76.07091568268636,18.182173270409674,-1230.6135277584065,-123.13604110019037,-62.18938045148843,-58.80103752344667
5.25,76.07197283071373,18.186269719015723,-1207.4315299113796,-100.3943298288134,-39.69614840359759,-36.188474629853545
5.5,76.0730299787411,18.190366167621775,-1180.7341906450552,-74.13727713813864,-13.687574936408737,-10.06057031696264
5.75,76.07408712676848,18.194462616227824,-1152.9273143613,-46.77068743003292,13.4305355482104,17.176871013359005
6.0,76.0752599875544,18.198519975108788,-1124.3181724551382,-18.488063591197033,41.46535366956664,45.34163658000443
6.25,76.077,18.20236530666766,-1097.8650481345264,8.202953863760968,67.91303481883028,71.9711986227403
6.287621255294525,76.077,18.203,-1095.2776609181356,10.57946806738164,70.2532605129004,74.31460777069015
6.537621255294525,76.07743421879186,18.207197448321438,-1075.7841610054793,29.05657841471634,88.48452288441467,92.60749857467658
6.787621255294525,76.07786843758375,18.211394896642876,-1067.2917847919582,36.532565062915864,95.71466155679445,99.89926567952807
7.037621255294525,76.07830265637561,18.215592344964314,-1059.8216137377055,42.986346551846964,101.92259506990536,106.16882762511068
7.287621255294525,76.0787368751675,18.21978979328575,-1056.9161551838395,44.87541554039149,103.56581608262991,107.87367707030717
7.537621255294525,76.07917109395936,18.223987241607187,-1054.4849878955456,46.29019326336379,104.73474582978224,109.10423524993121
7.787621255294525,76.07960531275124,18.228184689928625,-1052.7898658971021,46.968925696485485,105.16763028708397,109.59874813970464
8.037621255294525,76.07998871094503,18.23238382786897,-1051.8145771042575,46.883000850309145,104.83644664153417,109.3244525212101
8.287621255294525,76.0798647107309,18.236599835149214,-1054.2426883023018,42.946147560395275,100.66021695430845,105.15778213504814
8.537621255294525,76.07974071051677,18.24081584242946,-1053.2969303259142,42.38316344491295,99.85785644151429,104.36498092331817
8.787621255294525,76.07961671030266,18.245031849709704,-1050.1780914178448,43.99326026111271,101.2285768604022,105.7452606432696
9.037621255294525,76.07949271008853,18.24924785698995,-1045.091949526734,47.57066006035393,104.56660026233158,109.09284334626295
9.287621255294525,76.0793687098744,18.25346386427019,-1039.3775193897109,51.77634810550717,108.5329119101732,113.06871429516832
9.537621255294525,76.07924470966027,18.257679871550437,-1032.5762998094604,57.06882559388805,113.58601300124201,118.1313746873011
9.787621255294525,76.07912070944614,18.261895878830682,-1025.6599298277695,62.47645348370929,118.7542644937514,123.30918548087425
10.037621255294525,76.07896944864653,18.266108104789154,-1018.5597956056492,68.04535905568787,124.08437772312004,128.6462917069764
10.287621255294525,76.07781823579693,18.27018162718011,-1018.3174173845564,65.93167380966952,121.75332398457499,126.22809574281632
10.537621255294525,76.0766670229473,18.27425514957107,-1017.8755267912013,64.0175009359134,119.62178261829172,124.0094121509187
10.787621255294525,76.07551581009768,18.27832867196203,-1015.8812669162463,63.6556973437572,119.04261053360881,123.34309784062077
11.037621255294525,76.07436459724806,18.282402194352986,-1010.988077326189,66.19282346670332,121.36236816402777,125.57571324542539
