vertex_index,longitude_e_deg,latitude_n_planetocentric_deg,distance_along_trace_km
1,75.968000,18.119000,0.0000
2,76.029000,18.109000,3.4873
3,76.057000,18.103000,5.1044
4,76.086000,18.175000,9.6741
5,76.110000,18.208000,12.0517
6,76.138000,18.201000,13.6820
7,76.154000,18.215000,14.9068
8,76.181000,18.201000,16.6389
9,76.209000,18.205000,18.2332
10,76.233000,18.187000,19.9551
11,76.263000,18.172000,21.8642
12,76.308000,18.184000,24.4964
